year,amount
1945,0
1946,0
1947,0
1948,0
1949,1
1950,5
1951,25
1952,50
1953,120
1954,150
1955,200
1956,426
1957,660
1958,863
1959,1048
1960,1627
1961,2492
1962,3346
1963,4259
1964,5242
1965,6144
1966,7091
1967,8400
1968,9490
1969,10671
1970,11736
1971,13279
1972,14600
1973,15878
1974,17286
1975,19235
1976,22165
1977,24281
1978,26169
1979,28258
1980,30665
1981,32146
1982,33486
1983,35130
1984,36825
1985,38582
1986,40159
1987,38107
1988,36538
1989,35078
1990,32980
1991,29154
1992,26734
1993,24403
1994,21339
1995,18179
1996,15942
1997,15442
1998,14368
1999,13188
2000,12188
2001,11152
2002,10114
2003,9076
2004,8038
2005,7000
2006,6643
2007,6286
2008,5929
2009,5527
2010,5215
2011,4858
2012,4500
2013,4480
2014,4300
